ID	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C50
id131	0.222122835	0.566942728	0.596632958	-0.018812488	0.56683224	0.138437425	1.322376425	-0.105834826	0.197167831	0.96443227	0.21755083	0.03266952	-0.267121143	-0.189906695	-0.043990203	0.402215205	0.778100358	-0.055193313	0.430823908	0.108572409	0.288152232	0.417300382	0.303345074	-0.035925624	0.46780783	0.115134481	0.117665362	0.97891023	0.150124646	0.358009946	0.003272958	-0.082435514	0.119630381	-0.012063716	0.026124778	-0.002269887	0.854098475	-0.024801795	-0.101153669	0.166195976	0.2343229	0.3242669	0.566991188	0.180355175	0.303081784	0.209098348	-0.026464318	0.19886328	0.235695365	0.074004993
id132	0.665138675	0.310456206	0.109305022	-0.133507313	0.578584033	0.020575184	0.871853135	0.320761836	-0.083605289	0.145175668	0.572253186	0.070056582	0.04889533	0.166733035	0.118062684	0.158289412	0.004686039	0.250499775	0.256429147	0.207960264	0.200878491	1.129224944	0.310969503	-0.02218651	0.40193721	0.064654477	0.195158672	0.39455485	0.258797072	0.221010649	0.362441228	0.132716344	0.229443507	0.210603721	-0.051852514	-0.032187871	1.138897904	-0.036799879	0.068362453	0.330515245	0.22570486	0.458874911	-0.869952465	0.024892144	0.107337178	0.287368595	0.703803779	0.042617991	0.382783531	-0.022574788
id133	0.611227998	-0.149718636	-0.347934428	0.071051522	0.605285815	0.080974957	-0.929850605	0.088569296	0.316562129	-0.197216384	0.003236611	-0.019584515	-0.247260033	-0.033949513	-0.164406771	0.089725627	-0.029709258	-0.110085862	-0.185017767	0.080804336	-0.004971295	-0.288562598	0.136533675	0.019632197	-0.337940405	0.065406318	-0.232648688	1.267172979	0.116270722	-0.014368919	0.057629593	-0.230283205	0.188588909	-0.21503816	0.072256578	-0.156447581	0.432976976	0.082257316	-0.265495471	-0.042102337	0.266268993	-0.211568132	0.594183084	0.011622597	-0.301802341	-0.028965348	0.347620369	0.181144163	-0.012578791	0.001406429
id134	0.583573553	-0.207776991	1.828517093	-0.15829228	0.474152381	0.09388877	0.29497741	0.027103009	0.535839001	0.250826468	0.070683525	0.121753577	0.120277594	0.083524031	-0.473783147	-0.001721969	-0.051440854	0.043650307	-0.290389616	0.085532949	-0.157324828	-0.631904572	0.133351761	-0.096174403	-0.290094729	-0.012790416	0.187893032	0.915812602	-0.042831052	-0.071352325	0.40292174	-0.041944264	-0.166387875	0.107462019	-0.050651742	0.222251911	-0.501536022	0.067214945	0.490601349	0.050297344	0.148721669	0.535753064	-0.852652731	0.216368447	-0.180574237	-0.089503292	-0.364243126	0.008373957	0.038646847	-0.102593564
id135	0.719030285	-0.045884475	1.603382391	-0.128249951	0.309813589	-0.281779242	1.218640234	0.177116567	0.244861494	0.700620983	-0.00267246	-0.061852189	0.167596689	-0.114808309	-0.390410553	0.173165918	0.446730325	0.176322367	0.62389633	0.01383954	0.049866441	0.418165791	0.054517216	0.008843142	0.185481738	0.143449476	0.090019237	0.24208507	0.217032202	0.00666538	0.165138153	0.015795426	0.302597743	0.315597371	0.363790747	0.185800222	0.159082432	-0.037515248	0.177003868	0.133629199	0.214475473	-0.797550758	-0.513723162	0.420259856	0.147303766	0.304769348	NA	-0.002043835	0.254195874	-0.037699398
id136	-0.391277898	-0.159642536	1.768615851	-0.034133506	-0.29567754	-0.20727873	0.082552853	-0.153253356	-0.005902788	-0.333508776	-0.110225148	-0.08820665	0.088338049	-0.389612129	0.241192452	-0.123153086	-0.297883315	0.138667756	0.037581449	0.07123307	NA	0.073477714	NA	0.008863041	0.24853999	0.166266821	-0.007386141	0.839407923	-0.256875675	-0.213444421	-0.073576644	-0.038654644	0.069626446	0.233213483	0.277473972	-0.595767264	0.155157237	0.02756696	-0.380818888	-0.228099689	-0.168512371	0.160282558	-0.342689055	0.670248508	0.039466564	-0.006013973	-0.319457767	-0.063334113	0.027047624	0.11017332
id137	0.543264101	NA	1.583699282	-0.026604413	0.709544601	0.186066098	-0.347713218	-0.067687317	0.475057358	0.179250253	0.199384948	-0.029305052	0.275992774	-0.076211666	-0.094665675	-0.090271681	-0.335181699	0.119325667	-0.480112742	0.107295161	0.18300811	-0.136898876	0.098604142	-0.02705788	0.050889943	-0.140237868	0.036894799	1.125098934	0.026997121	-0.060790663	0.263172123	0.124588462	-0.15707955	0.228816014	0.028357465	0.018817658	0.119746831	0.044790823	-0.072559021	0.185161142	-0.293099941	0.635586014	-0.045377704	-0.284007233	-0.157230009	-0.150627254	0.37713606	0.191653242	-0.141573099	0.104257234
id138	-0.019116305	-0.415330708	1.300881501	0.130257897	0.217030215	0.440504955	-1.094097685	-0.224905953	0.081538225	0.054118826	-0.128211422	0.009700954	-0.523947148	-0.217409914	0.418574268	-0.24970278	-0.000352196	-0.260409623	-0.752328968	-0.298110695	-0.274667746	-1.972048622	0.188315393	-0.329178673	-0.853786208	-0.21255332	-0.058212376	-0.370128909	-0.068498542	-0.532235971	-0.186468926	-0.379834944	0.035857878	-0.534240741	-0.03142966	-0.082246408	-1.38418068	0.066630716	0.034700531	NA	-0.37465349	1.064873474	0.563733879	-0.343809122	-0.775820209	-0.217569144	-0.876902592	0.536429586	-0.233906106	-0.267223014
id139	0.445701166	0.301085437	1.688112099	0.034183131	0.041920381	-0.075237735	1.274796732	0.67458309	-0.251411418	NA	-0.057366872	0.173041553	-0.083524705	-0.057062992	-0.339929139	0.02508323	-0.778925398	0.339720795	NA	0.208415715	0.282068114	0.424368527	1.00585055	0.082297794	0.067472177	0.372448452	-0.174781545	-0.181543005	-0.066770163	0.301022445	0.278349882	0.236264727	0.122702114	0.228639263	0.192988477	-0.01800968	0.155268142	-0.08679146	-0.195026602	0.263427032	0.070041967	-0.213375699	-0.342841879	0.095808206	0.264659389	0.266137062	-0.593881229	-0.216485168	-0.169873116	0.037598537
id140	-1.36369366	-0.389328838	1.37421036	0.22041817	-1.10008597	-0.128062302	-0.076695371	-0.594907065	0.402886038	0.028956391	-0.552965214	0.058353023	-0.73331304	-0.159995958	0.017954647	-0.831463615	0.423119813	-0.564508079	-0.700676666	-0.506015743	-0.503147765	-0.304031487	-0.678595535	0.046597163	-0.554375715	-0.65419448	-0.314879016	-0.455107525	-0.11642732	-0.552272376	-0.75032878	-0.55932867	-0.642504007	-0.512250902	-0.482435941	-0.224199255	NA	-0.010120548	-0.682387437	-0.196832827	NA	1.772589453	0.076535306	-0.578143172	-0.386920147	-0.424023243	-1.475932464	-0.196160509	-0.524395653	-0.178722075
id141	-0.08733845	-0.604969245	0.651565839	0.06685236	-0.302385999	-0.025952961	-1.094880032	0.368080884	0.240957985	0.102106783	-0.223952172	0.079333178	-0.187384376	-0.125973932	-0.108594018	-0.462133641	-0.285455123	0.027200285	-0.243020964	0.046400236	-0.289974615	-1.085405374	-0.167556172	0.031651929	-0.66279475	-0.354422438	-0.574169898	0.622045307	0.185336755	-0.143740199	-0.065120495	-0.194893542	0.122946928	-0.132735903	-0.248220173	-0.104091862	-0.340914878	-0.117942954	-0.370818943	-0.026038296	-0.401019162	0.836589111	-0.359989679	0.141226279	-0.250303841	-0.163153175	-0.887914429	-0.219686978	-0.287396055	0.048820052
